# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.002715  72.405726 6764.484025 1.929449e-09 0
  0.005720  68.542765 6763.673128 3.858897e-09 0
  0.008620  67.375455 6765.603530 5.788346e-09 0
  0.011558  67.397181 6766.283990 7.717794e-09 0
  0.015034  65.005225 6766.084747 9.647244e-09 0
  0.017947  65.303735 6766.262945 1.157669e-08 1
  0.021482  63.580352 6766.506920 1.350614e-08 1
  0.025326  61.676556 6766.561037 1.543559e-08 1
  0.028861  60.937162 6766.520816 1.736504e-08 1
  0.032577  59.897128 6766.756866 1.929449e-08 1
  0.036727  58.505441 6766.719742 2.122393e-08 1
  0.041207  56.816193 6766.891688 2.315338e-08 1
  0.045768  55.435477 6766.993741 2.508283e-08 1
  0.050257  54.391901 6767.028336 2.701228e-08 1
  0.055756  52.510320 6767.057776 2.894173e-08 1
  0.060462  51.655261 6767.132331 3.087118e-08 1
  0.066318  50.019337 6767.198698 3.280063e-08 1
  0.071561  49.091401 6767.267843 3.473008e-08 1
  0.077650  47.751866 6767.307867 3.665952e-08 1
  0.084360  46.272541 6767.306980 3.858897e-08 1
  0.091095  44.991221 6767.318477 4.051842e-08 1
  0.098651  43.507872 6767.354081 4.244787e-08 1
  0.106679  42.059964 6767.385066 4.437732e-08 1
  0.115748  40.456740 6767.368948 4.630677e-08 1
  0.124917  39.028764 6767.419870 4.823621e-08 1
  0.135269  37.487229 6767.434447 5.016566e-08 1
  0.145963  36.090440 6767.404454 5.209511e-08 1
  0.157777  34.620284 6767.374898 5.402456e-08 1
  0.170788  33.117673 6767.356251 5.595401e-08 1
  0.185011  31.632142 6767.307412 5.788346e-08 1
  0.200265  30.195472 6767.257891 5.981291e-08 1
  0.217249  28.753221 6767.132394 6.174236e-08 1
  0.234712  27.449112 6767.002199 6.367180e-08 1
  0.244328  27.221454 6766.765769 6.560125e-08 0
  0.246899  27.727447 6766.595653 6.753070e-08 0
  0.249166  28.256185 6766.439760 6.946015e-08 0
  0.251882  28.733000 6766.260355 7.138960e-08 0
  0.253968  29.266733 6766.085518 7.331905e-08 0
  0.255729  29.816367 6765.959394 7.524850e-08 0
  0.258301  30.279489 6765.814309 7.717794e-08 0
  0.257935  31.115091 6765.569344 7.910739e-08 0
  0.251554  32.783729 6764.958470 8.103684e-08 0
  0.240257  35.182796 6764.174122 8.296629e-08 0
  0.226335  38.217122 6763.367711 8.489574e-08 0
  0.211682  41.776848 6762.599800 8.682519e-08 0
  0.196383  45.996352 6761.974099 8.875464e-08 0
  0.181666  50.772048 6761.461147 9.068409e-08 0
  0.167996  56.069597 6760.941330 9.261354e-08 0
  0.153895  62.458719 6760.548437 9.454299e-08 0
  0.140416  69.855832 6760.166336 9.647243e-08 0
  0.126173  79.243486 6760.111144 9.840188e-08 0
  0.114926  88.903630 6759.189427 1.003313e-07 0
  0.094507 109.069940 6762.914714 1.022608e-07 0
  0.121004  87.230574 6749.031846 1.041902e-07 0
  0.055560  69.217978 6835.054168 1.061197e-07 0
  0.106228  43.712109 6767.871270 1.080491e-07 0
  0.240070  40.182829 6753.001885 1.093792e-07 0
  0.049782 197.652874 6799.539494 1.074497e-07 0
