# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000500 -12.980021 1577.266978 3.500133e-11 0
  0.002397   5.690997 1591.861168 7.000267e-11 0
  0.004584  15.508711 1593.207832 1.050040e-10 0
  0.006280  15.393970 1593.550594 1.400053e-10 0
  0.008945  13.372450 1592.614063 1.750067e-10 0
  0.010984  13.177279 1592.996720 2.100080e-10 1
  0.013265  12.757066 1592.999043 2.450093e-10 1
  0.015659  12.350445 1593.053657 2.800107e-10 1
  0.017985  12.096350 1592.977942 3.150120e-10 1
  0.020683  11.688178 1592.952987 3.500134e-10 1
  0.023975  11.090287 1593.053718 3.850147e-10 1
  0.026764  10.835261 1592.922212 4.200160e-10 1
  0.030278  10.377937 1593.014929 4.550174e-10 1
  0.033618  10.066921 1592.978249 4.900187e-10 1
  0.037308   9.718065 1593.073409 5.250200e-10 1
  0.041408   9.340871 1593.038834 5.600214e-10 1
  0.045712   8.990469 1593.028131 5.950227e-10 1
  0.050442   8.626302 1593.066198 6.300240e-10 1
  0.055324   8.302285 1593.089717 6.650254e-10 1
  0.060656   7.971137 1593.085432 7.000268e-10 1
  0.066072   7.683503 1593.101715 7.350280e-10 1
  0.071781   7.409258 1593.089452 7.700294e-10 1
  0.078006   7.127927 1593.083437 8.050307e-10 1
  0.084329   6.880175 1593.080033 8.400321e-10 1
  0.091053   6.637258 1593.049532 8.750334e-10 1
  0.098613   6.373846 1593.045582 9.100347e-10 1
  0.105561   6.183192 1593.022410 9.450361e-10 1
  0.113108   5.984325 1592.999909 9.800373e-10 1
  0.120157   5.834016 1592.957471 1.015039e-09 1
  0.128031   5.663419 1592.899878 1.050040e-09 1
  0.135698   5.522019 1592.856952 1.085041e-09 1
  0.144299   5.359540 1592.792971 1.120043e-09 1
  0.151392   5.268109 1592.731210 1.155044e-09 1
  0.158036   5.199386 1592.666818 1.190045e-09 1
  0.164536   5.140294 1592.592762 1.225047e-09 1
  0.171209   5.080594 1592.511569 1.260048e-09 1
  0.176418   5.067600 1592.431578 1.295049e-09 0
  0.177142   5.185472 1592.398886 1.330051e-09 0
  0.177419   5.313473 1592.358382 1.365052e-09 0
  0.177410   5.450200 1592.324755 1.400053e-09 0
  0.177153   5.594676 1592.294617 1.435055e-09 0
  0.177716   5.713088 1592.270163 1.470056e-09 0
  0.177684   5.850072 1592.241042 1.505057e-09 0
  0.177860   5.980414 1592.225280 1.540059e-09 0
  0.178085   6.108670 1592.214399 1.575060e-09 0
  0.178086   6.244270 1592.192348 1.610061e-09 0
  0.178368   6.370044 1592.181552 1.645063e-09 0
  0.178557   6.498684 1592.172954 1.680064e-09 0
  0.178685   6.629321 1592.160032 1.715065e-09 0
  0.179332   6.740227 1592.153546 1.750067e-09 0
  0.179831   6.855889 1592.139041 1.785068e-09 0
  0.179960   6.985320 1592.122554 1.820069e-09 0
  0.180184   7.110758 1592.101308 1.855071e-09 0
  0.180202   7.244096 1592.074364 1.890072e-09 0
  0.180510   7.365848 1592.063243 1.925073e-09 0
  0.180959   7.481064 1592.042386 1.960075e-09 0
  0.181132   7.607456 1592.026767 1.995076e-09 0
  0.181264   7.735343 1592.022177 2.030077e-09 0
  0.181342   7.865238 1592.004317 2.065079e-09 0
  0.181559   7.989016 1591.989661 2.100080e-09 0
  0.182260   8.090623 1591.953126 2.135081e-09 0
  0.182097   8.230861 1591.930866 2.170083e-09 0
  0.182388   8.350268 1591.906148 2.205084e-09 0
  0.182293   8.487284 1591.886926 2.240085e-09 0
  0.182638   8.603533 1591.862877 2.275087e-09 0
  0.182894   8.723601 1591.830587 2.310088e-09 0
  0.182809   8.859986 1591.804337 2.345089e-09 0
  0.183174   8.974377 1591.786792 2.380091e-09 0
  0.183163   9.106766 1591.756770 2.415092e-09 0
  0.183550   9.219405 1591.737620 2.450094e-09 0
  0.183489   9.222525 1591.726286 2.450094e-09 0
