# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000717 291.976284 1625.533141 3.806395e-10 0
  0.002393 122.084421 1572.727001 7.612790e-10 0
  0.006740  76.226004 1595.594274 1.141919e-09 0
  0.009944  83.773823 1591.274858 1.522558e-09 0
  0.013262  78.979183 1590.876748 1.903198e-09 0
  0.016934  74.224830 1591.137855 2.283837e-09 1
  0.019558  74.959694 1590.283594 2.664477e-09 1
  0.024022  69.740859 1589.304222 3.045116e-09 1
  0.027886  67.610747 1589.572093 3.425756e-09 1
  0.032865  63.744273 1589.606463 3.806395e-09 1
  0.037797  60.969025 1589.540457 4.187035e-09 1
  0.042737  58.823353 1589.368381 4.567674e-09 1
  0.048829  55.774476 1589.277215 4.948314e-09 1
  0.055119  53.210342 1589.029031 5.328953e-09 1
  0.062189  50.524789 1589.232844 5.709593e-09 1
  0.069970  47.903029 1589.289857 6.090232e-09 1
  0.077806  45.772811 1589.124543 6.470872e-09 1
  0.087501  43.093832 1589.130502 6.851511e-09 1
  0.098107  40.571912 1589.009467 7.232151e-09 1
  0.108824  38.500862 1588.940367 7.612790e-09 1
  0.121043  36.345616 1588.812598 7.993429e-09 1
  0.133340  34.564404 1588.707402 8.374070e-09 1
  0.146884  32.803745 1588.578424 8.754709e-09 1
  0.160467  31.332689 1588.331224 9.135349e-09 1
  0.172865  30.297494 1588.175144 9.515988e-09 0
  0.175229  31.084262 1587.934675 9.896628e-09 0
  0.176480  32.050697 1587.824051 1.027727e-08 0
  0.178025  32.949661 1587.663085 1.065791e-08 0
  0.178921  33.955420 1587.403712 1.103855e-08 0
  0.180138  34.889129 1587.246117 1.141919e-08 0
  0.180315  36.016251 1587.134602 1.179982e-08 0
  0.180910  37.055696 1587.034517 1.218046e-08 0
  0.181590  38.070222 1586.967035 1.256110e-08 0
  0.182073  39.120141 1586.879335 1.294174e-08 0
  0.182616  40.149642 1586.873583 1.332238e-08 0
  0.183652  41.065831 1586.689079 1.370302e-08 0
  0.183891  42.150842 1586.637046 1.408366e-08 0
  0.184528  43.140605 1586.582078 1.446430e-08 0
  0.184960  44.173124 1586.461078 1.484494e-08 0
  0.185510  45.171385 1586.350985 1.522558e-08 0
  0.185928  46.196869 1586.210764 1.560622e-08 0
  0.186430  47.195895 1586.103281 1.598686e-08 0
  0.187421  48.064573 1585.932877 1.636750e-08 0
  0.188154  48.989070 1585.941670 1.674814e-08 0
  0.189032  49.871429 1585.769749 1.712878e-08 0
  0.189370  50.888429 1585.662158 1.750942e-08 0
  0.190129  51.787334 1585.513613 1.789006e-08 0
  0.190864  52.685571 1585.384383 1.827070e-08 0
  0.192555  53.310799 1585.148461 1.865134e-08 0
  0.193476  54.139819 1584.993466 1.903198e-08 0
  0.194725  54.868502 1584.866848 1.941262e-08 0
  0.195417  55.746236 1584.766272 1.979326e-08 0
  0.195723  56.727395 1584.854986 2.017390e-08 0
  0.195491  57.866680 1584.936513 2.055453e-08 0
  0.196888  58.521478 1584.716613 2.093517e-08 0
  0.198343  59.148814 1584.619405 2.131581e-08 0
  0.199560  59.837682 1584.521776 2.169645e-08 0
  0.201139  60.409109 1584.286425 2.207709e-08 0
  0.202812  60.944048 1584.213188 2.245773e-08 0
  0.205033  61.297406 1583.589529 2.283837e-08 0
  0.206219  61.969170 1583.450825 2.321901e-08 0
  0.207343  62.643331 1583.422609 2.359965e-08 0
  0.208617  63.265103 1583.274414 2.398029e-08 0
  0.209562  63.979620 1583.184647 2.436093e-08 0
  0.210775  64.605327 1583.128929 2.474157e-08 0
  0.211403  65.404304 1583.013631 2.512221e-08 0
  0.212288  66.118490 1583.029926 2.550285e-08 0
  0.213124  66.842249 1582.955659 2.588349e-08 0
  0.213816  67.605621 1582.866488 2.626413e-08 0
  0.214936  68.228068 1582.776566 2.664477e-08 0
  0.214649  68.319344 1582.690354 2.664477e-08 0
