# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.001143 -14.311261 1594.406191 7.054957e-11 0
  0.001247 -22.288785 1584.850508 1.410991e-10 0
  0.006180   8.623020 1587.183516 2.116487e-10 0
  0.009848   7.248390 1587.112075 2.821983e-10 0
  0.011735   7.567178 1586.722952 3.527478e-10 0
  0.015672   6.827492 1586.829947 4.232974e-10 0
  0.019439   6.421775 1586.693440 4.938470e-10 0
  0.022959   6.213742 1586.554071 5.643965e-10 0
  0.027385   5.860609 1586.653579 6.349461e-10 0
  0.032071   5.559878 1586.523640 7.054956e-10 1
  0.037532   5.228166 1586.585400 7.760452e-10 1
  0.043596   4.912258 1586.584715 8.465948e-10 1
  0.048865   4.747668 1586.549080 9.171443e-10 1
  0.054850   4.554973 1586.515788 9.876939e-10 1
  0.062110   4.309899 1586.518025 1.058244e-09 1
  0.070219   4.066209 1586.527891 1.128793e-09 1
  0.077734   3.902882 1586.505323 1.199343e-09 1
  0.086829   3.699244 1586.466305 1.269892e-09 1
  0.095266   3.559175 1586.438777 1.340442e-09 1
  0.104771   3.406413 1586.404174 1.410991e-09 1
  0.115625   3.241118 1586.377449 1.481541e-09 1
  0.125899   3.117329 1586.323956 1.552091e-09 1
  0.136413   3.006867 1586.258164 1.622640e-09 1
  0.148178   2.888171 1586.191419 1.693190e-09 1
  0.157195   2.833328 1586.099927 1.763739e-09 0
  0.160629   2.885574 1586.025900 1.834289e-09 0
  0.161583   2.981542 1585.990002 1.904838e-09 0
  0.163149   3.062459 1585.956781 1.975388e-09 0
  0.162845   3.178002 1585.932247 2.045937e-09 0
  0.163400   3.276508 1585.912749 2.116487e-09 0
  0.163831   3.376722 1585.885581 2.187037e-09 0
  0.163686   3.488850 1585.865933 2.257586e-09 0
  0.164427   3.581662 1585.845260 2.328136e-09 0
  0.163982   3.700204 1585.822764 2.398685e-09 0
  0.165797   3.767328 1585.800342 2.469235e-09 0
  0.166139   3.867032 1585.782096 2.539784e-09 0
  0.166086   3.975673 1585.757889 2.610334e-09 0
  0.166654   4.069275 1585.745476 2.680884e-09 0
  0.166574   4.178366 1585.726651 2.751433e-09 0
  0.167343   4.265822 1585.709060 2.821983e-09 0
  0.168278   4.348076 1585.682254 2.892532e-09 0
  0.168167   4.457142 1585.662466 2.963082e-09 0
  0.167734   4.574902 1585.629300 3.033631e-09 0
  0.168217   4.668030 1585.615126 3.104181e-09 0
  0.169340   4.742294 1585.582396 3.174731e-09 0
  0.170185   4.823770 1585.564559 3.245280e-09 0
  0.169198   4.957366 1585.541839 3.315830e-09 0
  0.169905   5.041805 1585.524130 3.386379e-09 0
  0.169946   5.145603 1585.506199 3.456929e-09 0
  0.170519   5.232973 1585.494180 3.527478e-09 0
  0.170029   5.352937 1585.467462 3.598028e-09 0
  0.171151   5.422176 1585.459291 3.668577e-09 0
  0.172123   5.495242 1585.445518 3.739127e-09 0
  0.171966   5.603985 1585.419224 3.809677e-09 0
  0.171781   5.713965 1585.407443 3.880226e-09 0
  0.172812   5.783061 1585.376403 3.950776e-09 0
  0.172311   5.903440 1585.342563 4.021325e-09 0
  0.172841   5.988687 1585.330642 4.091875e-09 0
  0.173519   6.068103 1585.322078 4.162424e-09 0
  0.173320   6.178082 1585.302588 4.232974e-09 0
  0.173588   6.271272 1585.272596 4.303523e-09 0
  0.174086   6.355918 1585.259374 4.374073e-09 0
  0.174841   6.430395 1585.219954 4.444623e-09 0
  0.174690   6.538236 1585.208051 4.515172e-09 0
  0.175156   6.622740 1585.181359 4.585722e-09 0
  0.174885   6.735060 1585.165407 4.656272e-09 0
  0.175479   6.813965 1585.143750 4.726821e-09 0
  0.176506   6.875135 1585.094899 4.797371e-09 0
  0.176382   6.981459 1585.079975 4.867920e-09 0
  0.176322   7.085012 1585.058895 4.938470e-09 0
  0.176717   7.069115 1585.056714 4.938470e-09 0
