# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.178156   7.101448 1585.057188 4.938470e-09 0
  0.177385   7.030100 1585.077755 4.867920e-09 0
  0.177063   6.940685 1585.103337 4.797371e-09 0
  0.177351   6.827391 1585.133886 4.726821e-09 0
  0.177029   6.737631 1585.166367 4.656272e-09 0
  0.176461   6.657259 1585.183605 4.585722e-09 0
  0.175669   6.584330 1585.203484 4.515172e-09 0
  0.175217   6.498029 1585.229173 4.444623e-09 0
  0.175715   6.376799 1585.252345 4.374073e-09 0
  0.175407   6.285019 1585.273183 4.303523e-09 0
  0.175050   6.194377 1585.302384 4.232974e-09 0
  0.174176   6.122103 1585.313417 4.162424e-09 0
  0.174216   6.017047 1585.319145 4.091875e-09 0
  0.173087   5.951269 1585.350001 4.021325e-09 0
  0.172494   5.866987 1585.380044 3.950776e-09 0
  0.172552   5.760648 1585.394445 3.880226e-09 0
  0.172609   5.653631 1585.424222 3.809677e-09 0
  0.171816   5.574905 1585.440471 3.739127e-09 0
  0.171872   5.468067 1585.449525 3.668577e-09 0
  0.172073   5.356378 1585.470116 3.598028e-09 0
  0.171942   5.255400 1585.488103 3.527478e-09 0
  0.170792   5.185169 1585.497535 3.456929e-09 0
  0.170886   5.075851 1585.530877 3.386379e-09 0
  0.169870   5.000327 1585.548428 3.315830e-09 0
  0.170080   4.887696 1585.572005 3.245280e-09 0
  0.170148   4.779878 1585.581297 3.174731e-09 0
  0.169025   4.704216 1585.607901 3.104181e-09 0
  0.168962   4.598846 1585.638359 3.033631e-09 0
  0.169798   4.470277 1585.652226 2.963082e-09 0
  0.168182   4.404926 1585.689609 2.892532e-09 0
  0.167915   4.305094 1585.705468 2.821983e-09 0
  0.167264   4.213368 1585.733244 2.751433e-09 0
  0.167569   4.098159 1585.751599 2.680884e-09 0
  0.167091   4.001820 1585.766853 2.610334e-09 0
  0.165757   3.924713 1585.790290 2.539784e-09 0
  0.165026   3.832795 1585.807255 2.469235e-09 0
  0.164744   3.729769 1585.819333 2.398685e-09 0
  0.165776   3.597372 1585.836543 2.328136e-09 0
  0.164910   3.506274 1585.863462 2.257586e-09 0
  0.163826   3.419123 1585.890700 2.187037e-09 0
  0.163776   3.309926 1585.914986 2.116487e-09 0
  0.163749   3.200039 1585.939714 2.045937e-09 0
  0.162885   3.106339 1585.957470 1.975388e-09 0
  0.162000   3.010784 1585.994015 1.904838e-09 0
  0.160289   2.929400 1586.040348 1.834289e-09 0
  0.155802   2.894209 1586.120773 1.763739e-09 0
  0.145195   2.980592 1586.209140 1.693190e-09 1
  0.135225   3.069815 1586.276779 1.622640e-09 1
  0.124852   3.180946 1586.341723 1.552091e-09 1
  0.115247   3.290816 1586.393399 1.481541e-09 1
  0.105053   3.438861 1586.439652 1.410991e-09 1
  0.095711   3.587549 1586.452611 1.340442e-09 1
  0.085837   3.789955 1586.458188 1.269892e-09 1
  0.077934   3.940418 1586.510315 1.199343e-09 1
  0.069844   4.140429 1586.499982 1.128793e-09 1
  0.061987   4.372811 1586.529290 1.058244e-09 1
  0.054765   4.619205 1586.568376 9.876939e-10 1
  0.048895   4.805434 1586.561468 9.171443e-10 1
  0.042259   5.132222 1586.561880 8.465948e-10 1
  0.036944   5.380970 1586.582551 7.760452e-10 1
  0.033210   5.442294 1586.570773 7.054956e-10 1
  0.028046   5.799530 1586.590766 6.349461e-10 1
  0.023132   6.244803 1586.711308 5.643965e-10 1
  0.018993   6.661149 1586.671669 4.938470e-10 1
  0.015994   6.761256 1586.908438 4.232974e-10 1
  0.012174   7.416580 1587.051821 3.527478e-10 1
  0.009897   7.301514 1587.156764 2.821983e-10 0
  0.005900   9.189121 1587.080310 2.116487e-10 0
  0.003325  10.225789 1588.906178 1.410991e-10 0
  0.001198  -2.485827 1596.456386 7.054957e-11 0
  0.001372 -11.016366 1599.124894 7.054957e-11 0
