# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.001088 -73.465653 1604.736406 3.111837e-10 0
  0.001023 119.781674 1553.986252 6.223675e-10 0
  0.004005  -8.607582 1567.783789 9.335512e-10 0
  0.006691  22.708068 1586.628129 1.244735e-09 0
  0.011852  33.589645 1588.365401 1.555919e-09 1
  0.013974  34.226967 1586.473116 1.867102e-09 1
  0.017626  31.822992 1586.950222 2.178286e-09 1
  0.021007  30.535688 1586.775263 2.489470e-09 1
  0.024290  29.703395 1586.389480 2.800654e-09 1
  0.028660  27.954432 1585.738632 3.111838e-09 1
  0.031441  28.047830 1585.925711 3.423021e-09 1
  0.035859  26.832761 1585.914800 3.734205e-09 1
  0.041337  25.212881 1586.065315 4.045389e-09 1
  0.046938  23.915973 1585.926445 4.356572e-09 1
  0.051941  23.155563 1585.748794 4.667756e-09 1
  0.057607  22.270060 1585.752039 4.978940e-09 1
  0.063557  21.447420 1585.704403 5.290124e-09 1
  0.070347  20.516936 1585.675845 5.601307e-09 1
  0.077210  19.727842 1585.789207 5.912491e-09 1
  0.086460  18.548177 1585.674699 6.223675e-09 1
  0.094693  17.780891 1585.712751 6.534859e-09 1
  0.103866  16.983915 1585.618686 6.846042e-09 1
  0.113443  16.256949 1585.529473 7.157226e-09 1
  0.123879  15.534261 1585.513496 7.468410e-09 1
  0.134252  14.931618 1585.417997 7.779594e-09 1
  0.145602  14.318417 1585.344731 8.090777e-09 1
  0.156978  13.791502 1585.244727 8.401961e-09 0
  0.162040  13.853884 1585.065597 8.713145e-09 0
  0.164360  14.147922 1585.005483 9.024329e-09 0
  0.164928  14.585278 1584.908474 9.335512e-09 0
  0.166718  14.909740 1584.841883 9.646696e-09 0
  0.166936  15.370499 1584.740206 9.957879e-09 0
  0.168014  15.749189 1584.652231 1.026906e-08 0
  0.167816  16.245619 1584.566801 1.058025e-08 0
  0.169299  16.576836 1584.519528 1.089143e-08 0
  0.169238  17.056700 1584.420195 1.120261e-08 0
  0.169813  17.470887 1584.382688 1.151380e-08 0
  0.171427  17.774375 1584.299524 1.182498e-08 0
  0.171473  18.237147 1584.244730 1.213617e-08 0
  0.171655  18.684989 1584.166614 1.244735e-08 0
  0.172871  19.017482 1584.082324 1.275853e-08 0
  0.173128  19.452308 1584.010853 1.306972e-08 0
  0.173541  19.868011 1583.962242 1.338090e-08 0
  0.174948  20.166645 1583.893117 1.369208e-08 0
  0.175060  20.611541 1583.754007 1.400327e-08 0
  0.175607  21.003841 1583.728497 1.431445e-08 0
  0.175313  21.496757 1583.636750 1.462564e-08 0
  0.175570  21.921859 1583.591528 1.493682e-08 0
  0.175556  22.380220 1583.562618 1.524800e-08 0
  0.176473  22.718597 1583.487759 1.555919e-08 0
  0.177028  23.099545 1583.492499 1.587037e-08 0
  0.177616  23.475082 1583.353529 1.618156e-08 0
  0.177563  23.932494 1583.392966 1.649274e-08 0
  0.177829  24.348993 1583.290822 1.680392e-08 0
  0.178710  24.677099 1583.281621 1.711511e-08 0
  0.179132  25.067083 1583.202905 1.742629e-08 0
  0.179638  25.442937 1583.101023 1.773747e-08 0
  0.180033  25.831706 1583.108253 1.804866e-08 0
  0.180581  26.197795 1583.077306 1.835984e-08 0
  0.181172  26.554766 1583.063686 1.867102e-08 0
  0.180528  27.094009 1583.007774 1.898221e-08 0
  0.181331  27.416254 1582.867578 1.929339e-08 0
  0.182213  27.723222 1582.861317 1.960458e-08 0
  0.181788  28.229537 1582.791001 1.991576e-08 0
  0.183359  28.425050 1582.709019 2.022694e-08 0
  0.183291  28.872816 1582.673343 2.053813e-08 0
  0.183538  29.271137 1582.602422 2.084931e-08 0
  0.184060  29.623604 1582.482294 2.116049e-08 0
  0.183573  30.138923 1582.443578 2.147168e-08 0
  0.183988  30.506432 1582.442502 2.178286e-08 0
  0.184339  30.448400 1582.441881 2.178286e-08 0
