# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.094320 115.357988 6739.312590 1.075974e-07 0
  0.065368  11.727750 6821.819357 1.058156e-07 0
  0.100539  38.952540 6768.458864 1.040338e-07 0
  0.257046  37.685560 6760.362441 1.022520e-07 0
  0.212313  46.669955 6753.114674 1.004702e-07 0
  0.126008  80.483141 6756.840106 9.868845e-08 0
  0.176736  56.319967 6754.240823 9.690667e-08 0
  0.145103  67.013916 6758.881848 9.512488e-08 0
  0.201261  47.747432 6757.251268 9.334310e-08 0
  0.183889  51.305226 6758.724539 9.156131e-08 0
  0.202265  45.786361 6759.539469 8.977952e-08 0
  0.212745  42.642565 6760.558876 8.799774e-08 0
  0.224945  39.501960 6761.600040 8.621595e-08 0
  0.236799  36.734546 6762.682353 8.443416e-08 0
  0.245270  34.731505 6763.576401 8.265237e-08 0
  0.243016  34.346599 6763.757250 8.087059e-08 0
  0.240963  33.875964 6763.938280 7.908880e-08 0
  0.238617  33.438359 6764.117145 7.730701e-08 0
  0.236221  32.999254 6764.281495 7.552523e-08 0
  0.234311  32.483444 6764.442376 7.374344e-08 0
  0.232318  31.970512 6764.598084 7.196165e-08 0
  0.230394  31.438894 6764.764771 7.017987e-08 0
  0.228758  30.858984 6764.955599 6.839808e-08 0
  0.226970  30.290755 6765.173174 6.661629e-08 0
  0.225492  29.674347 6765.370665 6.483451e-08 0
  0.223741  29.083812 6765.584830 6.305272e-08 0
  0.222359  28.437103 6765.807028 6.127093e-08 0
  0.220298  27.869918 6765.980942 5.948914e-08 0
  0.218057  27.312265 6766.172069 5.770736e-08 0
  0.215761  26.750079 6766.374342 5.592557e-08 0
  0.213920  26.121263 6766.556485 5.414378e-08 0
  0.210899  25.624300 6766.709672 5.236200e-08 0
  0.207133  25.198187 6766.962304 5.058021e-08 0
  0.200926  25.055738 6767.312645 4.879843e-08 0
  0.178772  27.127804 6767.762308 4.701664e-08 1
  0.160626  29.065110 6767.931329 4.523485e-08 1
  0.145059  30.918937 6768.024114 4.345307e-08 1
  0.131525  32.703267 6768.073284 4.167128e-08 1
  0.119233  34.532392 6768.121995 3.988949e-08 1
  0.108552  36.235656 6768.185843 3.810770e-08 1
  0.098798  37.951660 6768.239739 3.632592e-08 1
  0.090086  39.581255 6768.156893 3.454413e-08 1
  0.082065  41.208300 6768.201086 3.276234e-08 1
  0.074623  42.853427 6768.197773 3.098056e-08 1
  0.067695  44.522186 6768.189111 2.919877e-08 1
  0.061352  46.127299 6768.210774 2.741698e-08 1
  0.055718  47.491391 6768.164788 2.563520e-08 1
  0.049858  49.384008 6768.106255 2.385341e-08 1
  0.045257  50.340316 6767.973441 2.207162e-08 1
  0.040222  52.069605 6768.058070 2.028984e-08 1
  0.036025  53.030675 6768.119884 1.850805e-08 1
  0.031515  54.783013 6768.002650 1.672626e-08 1
  0.027604  55.882328 6767.919437 1.494448e-08 1
  0.023939  56.754734 6767.914687 1.316269e-08 1
  0.020167  58.250091 6767.663403 1.138090e-08 1
  0.016700  59.329719 6767.494331 9.599116e-09 1
  0.013378  60.314521 6767.275115 7.817330e-09 1
  0.010131  61.494336 6767.003132 6.035543e-09 1
  0.007046  62.314744 6767.318395 4.253756e-09 0
  0.004083  62.433589 6765.870319 2.471969e-09 0
  0.002886  63.660350 6764.354158 1.781787e-09 0
  0.002705  67.862169 6762.317792 1.781787e-09 0
