# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000698 130.711659 1575.748014 1.531308e-10 0
  0.003033  46.137548 1596.068074 3.062617e-10 0
  0.005386  57.912951 1593.333962 4.593925e-10 0
  0.007532  55.455375 1592.172282 6.125234e-10 1
  0.009477  55.125735 1591.622707 7.656542e-10 1
  0.012201  51.394136 1591.739579 9.187851e-10 1
  0.014602  50.102402 1591.807110 1.071916e-09 1
  0.017246  48.472967 1591.356629 1.225047e-09 1
  0.020352  46.215189 1591.254885 1.378178e-09 1
  0.023319  44.817920 1591.255180 1.531308e-09 1
  0.026682  43.086201 1591.255903 1.684439e-09 1
  0.030177  41.553924 1590.852309 1.837570e-09 1
  0.033882  40.094604 1591.059800 1.990701e-09 1
  0.038250  38.251941 1590.875330 2.143832e-09 1
  0.042679  36.730906 1590.902542 2.296963e-09 1
  0.047563  35.156915 1590.833363 2.450094e-09 1
  0.053180  33.408460 1590.795490 2.603224e-09 1
  0.058660  32.069312 1590.737450 2.756355e-09 1
  0.064925  30.583732 1590.727687 2.909486e-09 1
  0.072047  29.011282 1590.706099 3.062617e-09 1
  0.078894  27.818035 1590.694006 3.215748e-09 1
  0.086541  26.567973 1590.613867 3.368879e-09 1
  0.095704  25.116078 1590.564855 3.522009e-09 1
  0.103737  24.178858 1590.434967 3.675140e-09 1
  0.112284  23.269162 1590.361821 3.828271e-09 1
  0.120855  22.483678 1590.222115 3.981402e-09 1
  0.129110  21.855469 1590.075471 4.134533e-09 1
  0.137257  21.319130 1589.885910 4.287663e-09 1
  0.144284  21.004770 1589.677191 4.440794e-09 0
  0.145513  21.545262 1589.448092 4.593925e-09 0
  0.146381  22.132689 1589.304657 4.747056e-09 0
  0.147486  22.675265 1589.129657 4.900187e-09 0
  0.148332  23.250269 1588.942081 5.053318e-09 0
  0.149282  23.802857 1588.787428 5.206449e-09 0
  0.149804  24.417348 1588.606783 5.359580e-09 0
  0.150297  25.032167 1588.397105 5.512710e-09 0
  0.150411  25.708519 1588.230868 5.665841e-09 0
  0.150634  26.364248 1588.053675 5.818972e-09 0
  0.151022  26.988702 1587.884727 5.972103e-09 0
  0.151436  27.605100 1587.747225 6.125234e-09 0
  0.152009  28.188719 1587.605000 6.278365e-09 0
  0.151915  28.894024 1587.455795 6.431495e-09 0
  0.152658  29.437817 1587.280892 6.584626e-09 0
  0.152584  30.137319 1587.151329 6.737757e-09 0
  0.153090  30.720328 1587.058491 6.890888e-09 0
  0.153188  31.382828 1586.933598 7.044019e-09 0
  0.153597  31.979821 1586.812324 7.197150e-09 0
  0.153971  32.580870 1586.737779 7.350280e-09 0
  0.154119  33.227693 1586.675474 7.503411e-09 0
  0.154618  33.796472 1586.577793 7.656542e-09 0
  0.154648  34.465635 1586.475271 7.809673e-09 0
  0.155133  35.031307 1586.298941 7.962804e-09 0
  0.155433  35.636339 1586.175498 8.115935e-09 0
  0.155774  36.228936 1585.991325 8.269066e-09 0
  0.155965  36.854913 1585.915495 8.422196e-09 0
  0.156152  37.480059 1585.792311 8.575327e-09 0
  0.156167  38.145509 1585.624218 8.728458e-09 0
  0.156554  38.718876 1585.500796 8.881589e-09 0
  0.156826  39.318250 1585.427697 9.034720e-09 0
  0.157125  39.908525 1585.341762 9.187850e-09 0
  0.157142  40.569206 1585.229259 9.340981e-09 0
  0.157581  41.119643 1585.158301 9.494112e-09 0
  0.157836  41.715131 1585.113758 9.647244e-09 0
  0.158284  42.257342 1584.998749 9.800375e-09 0
  0.158791  42.780804 1584.923807 9.953505e-09 0
  0.159342  43.288693 1584.851837 1.010664e-08 0
  0.159823  43.812039 1584.710888 1.025977e-08 0
  0.160196  44.362790 1584.628563 1.041290e-08 0
  0.160963  44.800618 1584.563236 1.056603e-08 0
  0.161265  45.364635 1584.464331 1.071916e-08 0
  0.160987  45.443015 1584.468209 1.071916e-08 0
