# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.002680  18.546214 6764.172093 5.835379e-10 0
  0.005294  18.783283 6764.148296 1.167076e-09 0
  0.008999  16.548540 6764.630676 1.750614e-09 0
  0.011832  16.805705 6764.532385 2.334152e-09 1
  0.015448  16.076848 6764.884104 2.917690e-09 1
  0.018979  15.716047 6764.807997 3.501227e-09 1
  0.022419  15.521001 6764.942590 4.084765e-09 1
  0.026464  15.028952 6765.014020 4.668303e-09 1
  0.030688  14.580518 6765.035086 5.251841e-09 1
  0.035034  14.190577 6765.102044 5.835379e-09 1
  0.039672  13.785141 6765.124479 6.418917e-09 1
  0.044749  13.332196 6765.125484 7.002455e-09 1
  0.050097  12.901377 6765.117317 7.585993e-09 1
  0.056019  12.424574 6765.171867 8.169530e-09 1
  0.062727  11.888629 6765.153167 8.753068e-09 1
  0.069744  11.405572 6765.169769 9.336607e-09 1
  0.077777  10.866768 6765.163655 9.920144e-09 1
  0.086502  10.345276 6765.147618 1.050368e-08 1
  0.096333   9.805708 6765.148272 1.108722e-08 1
  0.106930   9.298610 6765.118887 1.167076e-08 1
  0.119302   8.750938 6765.083482 1.225430e-08 1
  0.132092   8.279638 6765.035424 1.283783e-08 1
  0.147495   7.750983 6764.959786 1.342137e-08 1
  0.164036   7.271332 6764.866483 1.400491e-08 1
  0.181077   6.858615 6764.736340 1.458845e-08 1
  0.199248   6.471690 6764.515819 1.517199e-08 0
  0.205483   6.526465 6764.381479 1.575552e-08 0
  0.206885   6.727229 6764.317405 1.633906e-08 0
  0.208310   6.919708 6764.247126 1.692260e-08 0
  0.208772   7.142914 6764.186402 1.750614e-08 0
  0.209989   7.337515 6764.105703 1.808967e-08 0
  0.210395   7.560227 6764.037689 1.867321e-08 0
  0.211215   7.766337 6763.971413 1.925675e-08 0
  0.211724   7.982593 6763.907176 1.984029e-08 0
  0.212169   8.200367 6763.847810 2.042383e-08 0
  0.213011   8.401467 6763.791258 2.100736e-08 0
  0.213111   8.630705 6763.731264 2.159090e-08 0
  0.213694   8.839950 6763.675147 2.217444e-08 0
  0.214445   9.040748 6763.615105 2.275798e-08 0
  0.214962   9.250390 6763.557233 2.334152e-08 0
  0.215642   9.451601 6763.494654 2.392505e-08 0
  0.216367   9.649803 6763.433556 2.450859e-08 0
  0.216741   9.862478 6763.369797 2.509213e-08 0
  0.217369  10.062733 6763.307604 2.567567e-08 0
  0.218041  10.259955 6763.252883 2.625920e-08 0
  0.218366  10.472279 6763.194590 2.684274e-08 0
  0.218964  10.670713 6763.134080 2.742628e-08 0
  0.219519  10.870365 6763.080107 2.800982e-08 0
  0.220024  11.071186 6763.018425 2.859336e-08 0
  0.220579  11.268828 6762.961296 2.917689e-08 0
  0.221187  11.462624 6762.903036 2.976043e-08 0
  0.221536  11.668969 6762.842980 3.034397e-08 0
  0.222217  11.856580 6762.769504 3.092751e-08 0
  0.222420  12.069282 6762.694321 3.151105e-08 0
  0.222993  12.261669 6762.638885 3.209459e-08 0
  0.223680  12.446180 6762.577748 3.267812e-08 0
  0.224274  12.635015 6762.522110 3.326166e-08 0
  0.224848  12.823976 6762.471338 3.384520e-08 0
  0.225312  13.018027 6762.411295 3.442874e-08 0
  0.225202  13.245487 6762.369860 3.501227e-08 0
  0.225777  13.431530 6762.304985 3.559581e-08 0
  0.226251  13.623356 6762.249135 3.617935e-08 0
  0.226690  13.816244 6762.189697 3.676289e-08 0
  0.226861  14.024952 6762.129978 3.734643e-08 0
  0.227407  14.209875 6762.068455 3.792996e-08 0
  0.227839  14.400900 6761.996891 3.851350e-08 0
  0.228262  14.592490 6761.946374 3.909704e-08 0
  0.228854  14.771633 6761.879637 3.968058e-08 0
  0.229373  14.954994 6761.814098 4.026411e-08 0
  0.230130  15.122074 6761.759551 4.084765e-08 0
  0.229797  15.144541 6761.768150 4.084765e-08 0
