# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.072279 -18.790375 6802.821543 1.081869e-07 0
  0.129080  22.329323 6765.126286 1.066414e-07 0
  0.261166  31.075703 6758.245200 1.050959e-07 0
  0.229226  36.140272 6751.625951 1.035504e-07 0
  0.139460  62.280917 6750.648492 1.020048e-07 0
  0.128573  65.926542 6755.270524 1.004593e-07 0
  0.201048  41.476665 6752.542791 9.891377e-08 0
  0.161499  51.155301 6754.804686 9.736825e-08 0
  0.196870  41.458942 6754.581439 9.582272e-08 0
  0.195877  40.946845 6755.647016 9.427719e-08 0
  0.212597  37.127988 6756.409552 9.273166e-08 0
  0.224378  34.577592 6757.271637 9.118614e-08 0
  0.237275  32.136006 6758.144757 8.964061e-08 0
  0.249472  30.027266 6759.046996 8.809508e-08 0
  0.250815  29.389072 6759.357941 8.654955e-08 0
  0.248821  29.100980 6759.494721 8.500402e-08 0
  0.247802  28.689927 6759.603597 8.345850e-08 0
  0.246144  28.347985 6759.729226 8.191297e-08 0
  0.244466  28.003797 6759.859469 8.036744e-08 0
  0.242927  27.639027 6759.999668 7.882191e-08 0
  0.241472  27.260075 6760.148829 7.727639e-08 0
  0.239287  26.959630 6760.258485 7.573086e-08 0
  0.237549  26.601986 6760.401890 7.418533e-08 0
  0.235591  26.264476 6760.529131 7.263980e-08 0
  0.234353  25.840866 6760.680554 7.109428e-08 0
  0.232692  25.459887 6760.817232 6.954875e-08 0
  0.231315  25.042412 6760.945198 6.800322e-08 0
  0.229941  24.618842 6761.096993 6.645769e-08 0
  0.228529  24.194292 6761.264616 6.491216e-08 0
  0.227347  23.740959 6761.431769 6.336664e-08 0
  0.226182  23.281089 6761.600430 6.182111e-08 0
  0.224946  22.824266 6761.747284 6.027558e-08 0
  0.223385  22.393771 6761.912790 5.873005e-08 0
  0.222679  21.873142 6762.087183 5.718453e-08 0
  0.221388  21.406709 6762.237035 5.563900e-08 0
  0.219906  20.951904 6762.396802 5.409347e-08 0
  0.218604  20.474016 6762.567554 5.254794e-08 0
  0.217308  19.990965 6762.714770 5.100241e-08 0
  0.215797  19.520257 6762.878447 4.945688e-08 0
  0.213930  19.075193 6763.039248 4.791136e-08 0
  0.212686  18.568594 6763.173941 4.636583e-08 0
  0.210851  18.105201 6763.324269 4.482031e-08 0
  0.209321  17.608522 6763.473291 4.327478e-08 0
  0.206534  17.206986 6763.660117 4.172925e-08 0
  0.203916  16.781787 6763.854413 4.018372e-08 0
  0.182845  17.979142 6764.284984 3.863819e-08 1
  0.164973  19.149933 6764.452084 3.709267e-08 1
  0.147222  20.565880 6764.608692 3.554714e-08 1
  0.130965  22.116870 6764.587292 3.400161e-08 1
  0.117691  23.492370 6764.619317 3.245608e-08 1
  0.106312  24.768013 6764.696872 3.091055e-08 1
  0.095934  26.075570 6764.730713 2.936503e-08 1
  0.086503  27.396363 6764.762835 2.781950e-08 1
  0.078435  28.536053 6764.756492 2.627397e-08 1
  0.070322  29.956152 6764.744812 2.472844e-08 1
  0.063482  31.109741 6764.762878 2.318291e-08 1
  0.056947  32.367665 6764.697461 2.163739e-08 1
  0.051232  33.407149 6764.834767 2.009186e-08 1
  0.045972  34.366276 6764.732803 1.854633e-08 1
  0.040695  35.587301 6764.837574 1.700080e-08 1
  0.035852  36.723292 6764.906857 1.545528e-08 1
  0.031275  37.886849 6764.784459 1.390975e-08 1
  0.027207  38.712146 6764.658580 1.236422e-08 1
  0.023344  39.472247 6764.256408 1.081869e-08 1
  0.019547  40.412197 6764.083037 9.273166e-09 1
  0.015965  41.234202 6764.146369 7.727639e-09 1
  0.012235  43.041224 6764.297741 6.182110e-09 1
  0.009209  42.889668 6764.070947 4.636583e-09 0
  0.006024  43.663230 6763.032424 3.091055e-09 0
  0.003010  43.675437 6764.287651 1.545528e-09 0
  0.002796  47.075562 6764.950443 1.545528e-09 0
