# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000263 491.606673 1501.579909 2.636038e-10 0
  0.001750 -57.862842 1524.667980 5.272076e-10 0
  0.003190  18.477564 1584.787873 7.908114e-10 0
  0.008141  67.743140 1591.259127 1.054415e-09 0
  0.010760  66.025203 1588.842417 1.318019e-09 0
  0.013746  62.179279 1589.642120 1.581623e-09 0
  0.016710  59.626156 1588.077692 1.845227e-09 1
  0.019648  58.001620 1588.807326 2.108830e-09 1
  0.022853  56.122054 1588.445230 2.372434e-09 1
  0.026276  54.232905 1587.957773 2.636038e-09 1
  0.030237  51.841118 1588.171087 2.899642e-09 1
  0.034769  49.183573 1587.715969 3.163246e-09 1
  0.039514  46.881331 1587.923378 3.426850e-09 1
  0.044561  44.774272 1587.638752 3.690453e-09 1
  0.050214  42.571303 1587.634954 3.954057e-09 1
  0.055766  40.887273 1587.644731 4.217661e-09 1
  0.062831  38.559609 1587.547255 4.481265e-09 1
  0.069684  36.811132 1587.536333 4.744869e-09 1
  0.077242  35.055785 1587.362319 5.008472e-09 1
  0.085540  33.320765 1587.275047 5.272076e-09 1
  0.094546  31.654273 1587.150450 5.535680e-09 1
  0.103758  30.216892 1587.063256 5.799284e-09 1
  0.113044  28.995691 1586.962910 6.062888e-09 1
  0.123100  27.785012 1586.712276 6.326491e-09 1
  0.132713  26.846577 1586.547311 6.590095e-09 1
  0.141369  26.210838 1586.357198 6.853700e-09 0
  0.144030  26.714186 1586.018603 7.117302e-09 0
  0.145775  27.373893 1585.834314 7.380907e-09 0
  0.147316  28.054907 1585.608454 7.644510e-09 0
  0.147886  28.910502 1585.399169 7.908114e-09 0
  0.148528  29.744163 1585.093461 8.171718e-09 0
  0.149563  30.492102 1584.900903 8.435322e-09 0
  0.149939  31.366067 1584.672562 8.698926e-09 0
  0.150482  32.199831 1584.416076 8.962529e-09 0
  0.151098  33.011811 1584.268974 9.226133e-09 0
  0.151469  33.871914 1584.059949 9.489737e-09 0
  0.151197  34.875318 1583.911034 9.753341e-09 0
  0.151747  35.688190 1583.717661 1.001694e-08 0
  0.152252  36.505496 1583.594197 1.028055e-08 0
  0.152775  37.313234 1583.506476 1.054415e-08 0
  0.153112  38.162540 1583.292559 1.080776e-08 0
  0.153336  39.035972 1583.070898 1.107136e-08 0
  0.153920  39.813978 1582.890109 1.133496e-08 0
  0.154481  40.591639 1582.756898 1.159857e-08 0
  0.154396  41.537160 1582.569174 1.186217e-08 0
  0.154365  42.468377 1582.464900 1.212578e-08 0
  0.155103  43.185425 1582.343287 1.238938e-08 0
  0.155773  43.914246 1582.267234 1.265298e-08 0
  0.156033  44.754806 1582.118349 1.291659e-08 0
  0.156545  45.518803 1582.003752 1.318019e-08 0
  0.156564  46.423231 1581.917359 1.344379e-08 0
  0.158297  46.814489 1581.909468 1.370740e-08 0
  0.157880  47.842181 1581.741314 1.397100e-08 0
  0.158797  48.463221 1581.568826 1.423461e-08 0
  0.159325  49.197183 1581.396931 1.449821e-08 0
  0.160845  49.618350 1581.180375 1.476181e-08 0
  0.160029  50.761455 1581.107185 1.502542e-08 0
  0.161584  51.155109 1580.996004 1.528902e-08 0
  0.162052  51.886999 1580.818274 1.555263e-08 0
  0.162313  52.681075 1580.777750 1.581623e-08 0
  0.163216  53.262230 1580.462405 1.607983e-08 0
  0.164233  53.801182 1580.319516 1.634344e-08 0
  0.164972  54.424093 1580.173852 1.660704e-08 0
  0.165688  55.048882 1580.081470 1.687064e-08 0
  0.166408  55.667262 1579.941301 1.713425e-08 0
  0.167442  56.174674 1579.727831 1.739785e-08 0
  0.168169  56.779149 1579.543844 1.766145e-08 0
  0.168844  57.396198 1579.371173 1.792506e-08 0
  0.169791  57.915531 1579.206160 1.818866e-08 0
  0.170673  58.451284 1579.062513 1.845227e-08 0
  0.170750  58.423934 1579.117237 1.845227e-08 0
