# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.215177  12.176871 1603.185463 2.679790e-09 0
  0.214672  12.030632 1603.225720 2.641507e-09 0
  0.214487  11.866769 1603.250012 2.603224e-09 0
  0.214432  11.695347 1603.265900 2.564942e-09 0
  0.214254  11.530385 1603.278015 2.526659e-09 0
  0.213843  11.377576 1603.280652 2.488376e-09 0
  0.213766  11.206520 1603.288172 2.450094e-09 0
  0.213851  11.027021 1603.295559 2.411811e-09 0
  0.213549  10.867377 1603.301411 2.373528e-09 0
  0.213446  10.697291 1603.300639 2.335245e-09 0
  0.212988  10.544484 1603.310829 2.296963e-09 0
  0.212624  10.386423 1603.325955 2.258680e-09 0
  0.211170  10.278620 1603.417269 2.220397e-09 0
  0.210582  10.131406 1603.446035 2.182114e-09 0
  0.210124   9.975548 1603.462713 2.143832e-09 0
  0.209387   9.831843 1603.484018 2.105549e-09 0
  0.208995   9.671022 1603.512238 2.067266e-09 0
  0.208345   9.521640 1603.534188 2.028984e-09 0
  0.208003   9.357489 1603.547747 1.990701e-09 0
  0.207483   9.200587 1603.556730 1.952418e-09 0
  0.207415   9.023181 1603.559092 1.914135e-09 0
  0.207318   8.846787 1603.569447 1.875853e-09 0
  0.206854   8.685789 1603.568915 1.837570e-09 0
  0.206706   8.510882 1603.573384 1.799287e-09 0
  0.206312   8.345635 1603.583910 1.761005e-09 0
  0.206128   8.171299 1603.606001 1.722722e-09 0
  0.205318   8.021354 1603.619648 1.684439e-09 0
  0.204996   7.851493 1603.621771 1.646157e-09 0
  0.204338   7.693196 1603.649286 1.607874e-09 0
  0.203836   7.528073 1603.693035 1.569591e-09 0
  0.196958   7.599955 1603.762811 1.531308e-09 1
  0.189029   7.721131 1603.825325 1.493026e-09 1
  0.181142   7.850861 1603.885997 1.454743e-09 1
  0.173070   8.000800 1603.947839 1.416460e-09 1
  0.165496   8.140842 1604.010255 1.378178e-09 1
  0.157008   8.343009 1604.062716 1.339895e-09 1
  0.148288   8.581943 1604.088920 1.301612e-09 1
  0.140717   8.777575 1604.122656 1.263330e-09 1
  0.133372   8.980012 1604.169096 1.225047e-09 1
  0.126467   9.174273 1604.220989 1.186764e-09 1
  0.119077   9.429910 1604.251801 1.148481e-09 1
  0.111616   9.724788 1604.286676 1.110199e-09 1
  0.103750  10.101243 1604.327051 1.071916e-09 1
  0.097153  10.401977 1604.367910 1.033633e-09 1
  0.091326  10.655970 1604.403585 9.953505e-10 1
  0.085111  10.994603 1604.426319 9.570678e-10 1
  0.079484  11.301998 1604.444057 9.187851e-10 1
  0.074020  11.630584 1604.464056 8.805023e-10 1
  0.068667  11.992110 1604.496238 8.422196e-10 1
  0.063667  12.346275 1604.502687 8.039369e-10 1
  0.059292  12.625936 1604.498631 7.656542e-10 1
  0.054588  13.028204 1604.508167 7.273715e-10 1
  0.050446  13.355777 1604.540600 6.890888e-10 1
  0.046789  13.599795 1604.551358 6.508061e-10 1
  0.042746  14.010659 1604.558823 6.125234e-10 1
  0.039188  14.327237 1604.598806 5.742407e-10 1
  0.035590  14.724388 1604.584828 5.359579e-10 1
  0.032329  15.051357 1604.607610 4.976752e-10 1
  0.029400  15.277833 1604.633407 4.593925e-10 1
  0.026404  15.593276 1604.697633 4.211098e-10 1
  0.023478  15.943107 1604.653407 3.828271e-10 1
  0.020566  16.380112 1604.695860 3.445444e-10 1
  0.018054  16.586164 1604.722429 3.062617e-10 1
  0.015515  16.887294 1604.808620 2.679790e-10 1
  0.013055  17.203449 1604.826450 2.296963e-10 1
  0.010639  17.588550 1604.960852 1.914136e-10 1
  0.008567  17.474920 1605.052153 1.531308e-10 1
  0.005669  19.795714 1605.406747 1.148481e-10 0
  0.003785  19.772912 1605.691110 7.656542e-11 0
  0.001697  21.842145 1607.255756 3.828271e-11 0
  0.001439  25.970220 1608.022948 3.828271e-11 0
