# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  1.196314   0.294936 1661.835414 3.904836e-09 0
  1.194941   0.291057 1661.835887 3.849053e-09 0
  1.194437   0.286959 1661.836632 3.793270e-09 0
  1.191893   0.283341 1661.837606 3.737486e-09 0
  1.190110   0.279530 1661.838738 3.681703e-09 0
  1.190623   0.275178 1661.839608 3.625920e-09 0
  1.187492   0.271656 1661.840716 3.570136e-09 0
  1.191479   0.266518 1661.840533 3.514353e-09 0
  1.196607   0.261152 1661.839461 3.458569e-09 0
  1.193531   0.257613 1661.840276 3.402786e-09 0
  1.190652   0.254000 1661.841475 3.347003e-09 0
  1.190714   0.249755 1661.842438 3.291219e-09 0
  1.186140   0.246462 1661.843911 3.235436e-09 0
  1.184772   0.242498 1661.844927 3.179652e-09 0
  1.189281   0.237341 1661.844502 3.123869e-09 0
  1.180096   0.234874 1661.847034 3.068086e-09 0
  1.166502   0.233235 1661.850852 3.012303e-09 0
  1.156468   0.230926 1661.854293 2.956519e-09 0
  1.146357   0.228565 1661.857597 2.900736e-09 0
  1.135205   0.226354 1661.861187 2.844952e-09 0
  1.122705   0.224366 1661.865193 2.789169e-09 0
  1.115605   0.221352 1661.867594 2.733386e-09 0
  1.116196   0.216759 1661.867895 2.677602e-09 0
  1.112834   0.212869 1661.869288 2.621819e-09 0
  1.093464   0.211845 1661.874111 2.566035e-09 0
  1.073749   0.211021 1661.879256 2.510252e-09 0
  1.053319   0.210286 1661.884831 2.454469e-09 0
  1.032136   0.209748 1661.890187 2.398685e-09 0
  1.012331   0.208896 1661.895372 2.342902e-09 0
  0.988701   0.208744 1661.901004 2.287118e-09 0
  0.965404   0.208573 1661.906542 2.231335e-09 0
  0.943462   0.208129 1661.911618 2.175552e-09 0
  0.921034   0.207740 1661.916698 2.119768e-09 0
  0.899209   0.207187 1661.921440 2.063985e-09 0
  0.876396   0.206833 1661.926347 2.008202e-09 0
  0.851704   0.206879 1661.931553 1.952418e-09 0
  0.828157   0.206724 1661.936307 1.896635e-09 0
  0.806801   0.205972 1661.940905 1.840852e-09 0
  0.783691   0.205617 1661.945434 1.785068e-09 0
  0.759450   0.205559 1661.949820 1.729285e-09 0
  0.735239   0.205455 1661.954388 1.673501e-09 0
  0.711603   0.205254 1661.958391 1.617718e-09 0
  0.687947   0.204964 1661.962806 1.561935e-09 0
  0.663197   0.205049 1661.966661 1.506151e-09 0
  0.636777   0.205623 1661.970958 1.450368e-09 0
  0.611887   0.205785 1661.974817 1.394584e-09 0
  0.589068   0.205253 1661.977952 1.338801e-09 0
  0.566047   0.204718 1661.980861 1.283018e-09 0
  0.541455   0.204712 1661.983544 1.227234e-09 0
  0.514498   0.205650 1661.986284 1.171451e-09 1
  0.490056   0.205650 1661.988528 1.115668e-09 1
  0.461316   0.207567 1661.990087 1.059884e-09 1
  0.435213   0.208455 1661.990901 1.004101e-09 1
  0.408669   0.209670 1661.991485 9.483174e-10 1
  0.381763   0.211253 1661.991118 8.925341e-10 1
  0.354963   0.212997 1661.989872 8.367507e-10 1
  0.328343   0.214900 1661.987845 7.809673e-10 1
  0.301670   0.217145 1661.984567 7.251839e-10 1
  0.275105   0.219762 1661.980507 6.694005e-10 1
  0.249624   0.221916 1661.974981 6.136172e-10 1
  0.224881   0.223831 1661.968503 5.578338e-10 1
  0.200782   0.225578 1661.961308 5.020504e-10 1
  0.175820   0.228965 1661.953763 4.462670e-10 1
  0.152145   0.231370 1661.945202 3.904837e-10 1
  0.127717   0.236274 1661.936629 3.347003e-10 1
  0.104928   0.239557 1661.927092 2.789169e-10 1
  0.081562   0.246492 1661.917055 2.231335e-10 1
  0.060520   0.249027 1661.906111 1.673501e-10 1
  0.039268   0.254515 1661.888585 1.115668e-10 0
  0.018313   0.263344 1661.847672 5.578338e-11 0
  0.017181   0.292312 1661.833293 5.578338e-11 0
